brand,year,mileage,fuel_type,transmission,engine_size,horsepower,price
Honda,2021,32804.0,Diesel,Automatic,3.8,224.0,27961
Audi,2012,235689.0,Diesel,Manual,4.7,364.0,24679
Honda,2018,82523.0,Petrol,Automatic,3.5,279.0,21692
Kia,2021,87322.0,Petrol,Automatic,1.2,149.0,12630
BMW,2015,83564.0,Petrol,Automatic,1.8,179.0,25007
Chevrolet,2017,116025.0,Hybrid,Automatic,2.2,190.0,14485
Hyundai,2020,73594.0,Petrol,Manual,1.0,135.0,7931
Audi,2017,127655.0,Diesel,Manual,1.5,148.0,22867
Audi,2019,76728.0,Diesel,Automatic,2.2,197.0,36078
Chevrolet,2022,54954.0,Petrol,Manual,2.1,203.0,21306
Chevrolet,2020,50417.0,,Automatic,1.7,168.0,18070
Kia,2013,144213.0,Diesel,Manual,3.8,333.0,10653
Tesla,2016,76566.0,Petrol,Manual,4.8,388.0,53702
Ford,2021,59443.0,Hybrid,Automatic,2.1,178.0,18858
Kia,2015,107431.0,Diesel,Manual,4.4,346.0,18214
Honda,2019,130076.0,Diesel,Manual,2.7,243.0,18488
Kia,2012,89967.0,Diesel,Manual,4.7,341.0,12995
Honda,2024,51806.0,Diesel,Automatic,1.3,179.0,24780
Audi,2017,110471.0,Petrol,Manual,3.1,241.0,31455
Audi,2012,270326.0,Diesel,Manual,3.7,297.0,21858
Tesla,2023,32596.0,Petrol,Manual,3.2,343.0,58445
Hyundai,2024,23252.0,Petrol,Automatic,2.0,179.0,22086
Chevrolet,2024,25175.0,Electric,Automatic,0.0,320.0,44568
Toyota,2021,51827.0,Diesel,Manual,1.4,180.0,16780
Toyota,2012,92053.0,Hybrid,Manual,1.7,202.0,7388
Ford,2024,30156.0,Diesel,Manual,1.1,155.0,17865
Ford,2018,113236.0,Diesel,Automatic,1.8,174.0,11903
Mercedes-Benz,2012,229005.0,Electric,Automatic,0.0,288.0,29837
Audi,2015,128198.0,Electric,Manual,0.0,325.0,35954
Kia,2016,92758.0,Electric,Automatic,0.0,254.0,15562
Volkswagen,2011,157190.0,Petrol,Automatic,4.2,231.0,3500
Honda,2016,195841.0,Petrol,Automatic,4.5,276.0,10256
Volkswagen,2022,67360.0,Petrol,Manual,3.4,293.0,29593
Volkswagen,2023,30001.0,Petrol,Manual,1.6,145.0,22605
Nissan,2011,180349.0,Diesel,Automatic,2.6,241.0,3500
Audi,2011,194440.0,Petrol,Manual,2.0,228.0,10287
Honda,2022,44840.0,Petrol,Automatic,1.4,171.0,20581
Audi,2021,75447.0,Diesel,Automatic,1.5,158.0,30216
Nissan,2016,147321.0,Diesel,Manual,1.6,138.0,3500
Audi,2016,177845.0,Petrol,Manual,3.7,285.0,33677
Nissan,2015,116697.0,Diesel,Automatic,3.6,325.0,16134
Hyundai,2021,90354.0,Petrol,Automatic,4.4,346.0,34882
Audi,2012,148326.0,Electric,Manual,0.0,233.0,24463
Chevrolet,2022,38732.0,Electric,Manual,0.0,230.0,31411
Toyota,2019,111547.0,Diesel,Automatic,4.1,342.0,28137
Volkswagen,2012,138952.0,Petrol,Manual,3.6,326.0,13045
Kia,2023,36928.0,Hybrid,Manual,2.5,220.0,31081
Audi,2017,121446.0,Petrol,Automatic,3.2,239.0,32652
Tesla,2024,3844.0,Hybrid,Automatic,1.5,201.0,63184
Toyota,2020,23300.0,Petrol,Automatic,4.3,277.0,31530
Audi,2023,33590.0,Hybrid,Manual,5.0,382.0,64173
Tesla,2024,21710.0,Diesel,Automatic,1.4,160.0,52260
Volkswagen,2021,63997.0,Petrol,Automatic,3.6,282.0,25066
Chevrolet,2022,44194.0,Petrol,Automatic,1.2,154.0,22151
Nissan,2022,70769.0,Petrol,Manual,1.5,161.0,13679
Mercedes-Benz,2013,234914.0,Hybrid,Manual,2.1,218.0,21362
Toyota,2019,60007.0,Petrol,Automatic,3.8,344.0,27718
Tesla,2017,153035.0,Hybrid,Automatic,3.3,287.0,41936
Audi,2020,97148.0,Diesel,Automatic,1.6,166.0,39905
Chevrolet,2012,166504.0,Petrol,Manual,2.7,247.0,3500
Volkswagen,2014,249190.0,Diesel,Manual,1.1,134.0,3500
BMW,2018,92575.0,Hybrid,Automatic,3.6,317.0,41055
Audi,2019,99163.0,Petrol,Automatic,3.9,315.0,43077
