Feature,Importance
brand_Tesla,18502.84264869721
brand_Mercedes-Benz,13201.565073832417
brand_Audi,11245.642264086104
brand_Bmw,9239.471356442806
brand_Hyundai,8043.434079838696
brand_Nissan,7242.418375574308
brand_Ford,7116.902419848577
brand_Kia,6877.5162914365
brand_Chevrolet,6608.562429143487
brand_Honda,5766.531044069847
brand_Toyota,5275.412134979833
brand_Volkswagen,5258.744568167256
horsepower,4354.315010575681
year,3945.815211377094
car_age,3945.8152113770902
fuel_type_Electric,3425.9978973824955
fuel_type_Petrol,2685.3425800532577
engine_size,2441.702727326818
mileage,1806.3480268270469
fuel_type_Diesel,1430.7526782084208
transmission_Automatic,1170.1875298280584
transmission_Manual,1170.1875298280534
power_to_engine_ratio,878.4090471493253
mileage_per_year,795.5132409891027
fuel_type_Hybrid,690.0973608791837
